player,surface,period,spw,rpw,matches
Camila Osorio,grass,career,0.5340,0.4230,19
Camila Osorio,all,career,0.5415,0.4604,210
Tereza Valentova,hard,52week,0.5710,0.4680,25
Tereza Valentova,clay,52week,0.5260,0.4530,4
Tereza Valentova,grass,52week,0.5450,0.4250,5
Tereza Valentova,all,52week,0.5619,0.4599,34
Tereza Valentova,hard,career,0.5710,0.4680,25
Tereza Valentova,clay,career,0.5170,0.4520,6
Tereza Valentova,grass,career,0.5450,0.4250,5
Tereza Valentova,all,career,0.5584,0.4594,36
Daria Kasatkina,hard,52week,0.5150,0.4800,18
Daria Kasatkina,clay,52week,0.5140,0.4820,9
Daria Kasatkina,grass,52week,0.5520,0.4500,8
Daria Kasatkina,all,52week,0.5232,0.4737,35
Daria Kasatkina,hard,career,0.5420,0.4680,349
Daria Kasatkina,clay,career,0.5460,0.4890,140
Daria Kasatkina,grass,career,0.5610,0.4690,64
Daria Kasatkina,all,career,0.5452,0.4734,553
Donna Vekic,hard,52week,0.5210,0.4240,15
Donna Vekic,clay,52week,0.5840,0.3890,7
Donna Vekic,grass,52week,0.6130,0.4470,9
Donna Vekic,all,52week,0.5619,0.4228,31
Donna Vekic,hard,career,0.5680,0.4330,329
Donna Vekic,clay,career,0.5670,0.4330,82
Donna Vekic,grass,career,0.6150,0.4210,89
Donna Vekic,all,career,0.5762,0.4309,500
Daria Snigur,hard,52week,0.5780,0.4940,4
Daria Snigur,clay,52week,0.4770,0.4530,4
Daria Snigur,grass,52week,0.5750,0.4360,7
Daria Snigur,all,52week,0.5497,0.4560,15
Daria Snigur,hard,career,0.5440,0.4510,14
Daria Snigur,clay,career,0.4770,0.4530,4
Daria Snigur,grass,career,0.5710,0.4300,14
Daria Snigur,all,career,0.5474,0.4421,32
Yulia Putintseva,hard,52week,0.5590,0.4250,27
Yulia Putintseva,clay,52week,0.5450,0.4580,10
Yulia Putintseva,grass,52week,0.5210,0.3670,1
Yulia Putintseva,all,52week,0.5543,0.4322,38
Yulia Putintseva,hard,career,0.5610,0.4390,349
Yulia Putintseva,clay,career,0.5560,0.4620,163
Yulia Putintseva,grass,career,0.5780,0.4160,43
Yulia Putintseva,all,career,0.5608,0.4440,555
Zeynep Sonmez,hard,52week,0.5450,0.4430,24
Zeynep Sonmez,clay,52week,0.5510,0.4770,8
Zeynep Sonmez,grass,52week,0.5610,0.4270,12
Zeynep Sonmez,all,52week,0.5505,0.4448,44
Zeynep Sonmez,hard,career,0.5410,0.4490,41
Zeynep Sonmez,clay,career,0.5180,0.4430,17
Zeynep Sonmez,grass,career,0.5630,0.4270,15
Zeynep Sonmez,all,career,0.5402,0.4431,73
Ann Li,hard,52week,0.5920,0.4310,40
Ann Li,clay,52week,0.5660,0.4330,17
Ann Li,grass,52week,0.5910,0.4110,5
Ann Li,all,52week,0.5848,0.4299,62
Ann Li,hard,career,0.5800,0.4360,116
Ann Li,clay,career,0.5650,0.4380,34
Ann Li,grass,career,0.5740,0.3970,20
Ann Li,all,career,0.5763,0.4318,170
Liudmila Samsonova,hard,52week,0.5830,0.4070,25
Liudmila Samsonova,clay,52week,0.5760,0.4260,9
Liudmila Samsonova,grass,52week,0.5940,0.4460,12
Liudmila Samsonova,all,52week,0.5845,0.4209,46
Liudmila Samsonova,hard,career,0.6000,0.4110,181
Liudmila Samsonova,clay,career,0.5860,0.4370,64
Liudmila Samsonova,grass,career,0.6100,0.4220,50
Liudmila Samsonova,all,career,0.5987,0.4185,295
Solana Sierra,hard,52week,0.5410,0.3830,17
Solana Sierra,clay,52week,0.5480,0.4730,11
Solana Sierra,grass,52week,0.5720,0.4220,9
Solana Sierra,all,52week,0.5506,0.4192,37
Solana Sierra,hard,career,0.5440,0.4160,22
Solana Sierra,clay,career,0.5400,0.4720,13
Solana Sierra,grass,career,0.5720,0.4220,9
Solana Sierra,all,career,0.5485,0.4338,44
Elisabetta Cocciaretto,hard,52week,0.5870,0.4460,28
Elisabetta Cocciaretto,clay,52week,0.5710,0.4440,9
Elisabetta Cocciaretto,grass,52week,0.6100,0.4040,5
Elisabetta Cocciaretto,all,52week,0.5863,0.4406,42
Elisabetta Cocciaretto,hard,career,0.5680,0.4320,101
Elisabetta Cocciaretto,clay,career,0.5540,0.4420,62
Elisabetta Cocciaretto,grass,career,0.5940,0.4400,20
Elisabetta Cocciaretto,all,career,0.5661,0.4363,183
Clara Tauson,hard,52week,0.6060,0.4300,37
Clara Tauson,clay,52week,0.4550,0.3470,3
Clara Tauson,grass,52week,0.6040,0.3810,6
Clara Tauson,all,52week,0.5959,0.4182,46
Clara Tauson,hard,career,0.5990,0.4290,138
