player,surface,period,spw,rpw,matches
Tomas Martin Etcheverry,grass,career,0.6460,0.3170,17
Tomas Martin Etcheverry,all,career,0.6422,0.3626,233
Ethan Quinn,hard,52week,0.6490,0.3320,23
Ethan Quinn,clay,52week,0.6170,0.3120,8
Ethan Quinn,grass,52week,0.6630,0.3610,11
Ethan Quinn,all,52week,0.6466,0.3358,42
Ethan Quinn,hard,career,0.6360,0.3320,33
Ethan Quinn,clay,career,0.6080,0.3460,16
Ethan Quinn,grass,career,0.6530,0.3710,17
Ethan Quinn,all,career,0.6336,0.3454,66
Mariano Navone,hard,52week,0.5940,0.3710,14
Mariano Navone,clay,52week,0.5940,0.4490,27
Mariano Navone,grass,52week,0.6330,0.3860,2
Mariano Navone,all,52week,0.5958,0.4207,43
Mariano Navone,hard,career,0.6010,0.3630,36
Mariano Navone,clay,career,0.5880,0.4400,74
Mariano Navone,grass,career,0.6110,0.3500,7
Mariano Navone,all,career,0.5934,0.4109,117
Arthur Cazaux,hard,52week,0.6520,0.3280,14
Arthur Cazaux,clay,52week,0.6690,0.3250,11
Arthur Cazaux,grass,52week,0.6330,0.3410,2
Arthur Cazaux,all,52week,0.6575,0.3277,27
Arthur Cazaux,hard,career,0.6490,0.3460,41
Arthur Cazaux,clay,career,0.6360,0.3310,17
Arthur Cazaux,grass,career,0.6420,0.2930,5
Arthur Cazaux,all,career,0.6449,0.3377,63
Pablo Carreno Busta,hard,52week,0.6200,0.3640,15
Pablo Carreno Busta,clay,52week,0.6380,0.3700,13
Pablo Carreno Busta,grass,52week,0.6370,0.3850,2
Pablo Carreno Busta,all,52week,0.6289,0.3680,30
Pablo Carreno Busta,hard,career,0.6430,0.3700,299
Pablo Carreno Busta,clay,career,0.6230,0.3960,223
Pablo Carreno Busta,grass,career,0.6250,0.3230,22
Pablo Carreno Busta,all,career,0.6341,0.3788,544
Juan Manuel Cerundolo,hard,52week,0.6250,0.3170,6
Juan Manuel Cerundolo,clay,52week,0.6130,0.3700,21
Juan Manuel Cerundolo,grass,52week,0.6340,0.3400,4
Juan Manuel Cerundolo,all,52week,0.6180,0.3559,31
Juan Manuel Cerundolo,hard,career,0.5870,0.3420,22
Juan Manuel Cerundolo,clay,career,0.5990,0.3830,60
Juan Manuel Cerundolo,grass,career,0.6080,0.3120,5
Juan Manuel Cerundolo,all,career,0.5965,0.3686,87
Yannick Hanfmann,hard,52week,0.6840,0.3490,15
Yannick Hanfmann,clay,52week,0.6840,0.3570,24
Yannick Hanfmann,grass,52week,0.7090,0.3230,8
Yannick Hanfmann,all,52week,0.6883,0.3487,47
Yannick Hanfmann,hard,career,0.6310,0.3430,59
Yannick Hanfmann,clay,career,0.6350,0.3770,129
Yannick Hanfmann,grass,career,0.6710,0.3330,27
Yannick Hanfmann,all,career,0.6384,0.3621,215
